p,	poly,	modulus
419,	x^26 + x^25 + 24*a,	a^2 + 418*a + 2
421,	x^26 + x^25 + 145*a,	a^2 + 417*a + 2
431,	x^26 + x^25 + 17*a,	a^2 + 430*a + 7
433,	x^26 + x^25 + 75*a,	a^2 + 432*a + 5
439,	x^26 + x^25 + 4*a,	a^2 + 436*a + 15
443,	x^26 + x^25 + 16*a,	a^2 + 437*a + 2
449,	x^26 + x^25 + a,	a^2 + 444*a + 3
457,	x^26 + x^25 + 11*a,	a^2 + 454*a + 13
461,	x^26 + x^25 + 58*a,	a^2 + 460*a + 2
463,	x^26 + x^25 + 43*a,	a^2 + 461*a + 3
467,	x^26 + x^25 + 76*a,	a^2 + 463*a + 2
479,	x^26 + x^25 + 66*a,	a^2 + 474*a + 13
487,	x^26 + x^25 + 28*a,	a^2 + 485*a + 3
491,	x^26 + x^25 + 113*a,	a^2 + 487*a + 2
499,	x^26 + x^25 + 108*a,	a^2 + 493*a + 7
503,	x^26 + x^25 + 10*a,	a^2 + 498*a + 5
509,	x^26 + x^25 + 16*a,	a^2 + 508*a + 2
521,	x^26 + x^25 + 102*a,	a^2 + 515*a + 3
523,	x^26 + x^25 + 24*a,	a^2 + 522*a + 2
541,	x^26 + x^25 + 146*a,	a^2 + 537*a + 2
547,	x^26 + x^25 + 10*a,	a^2 + 543*a + 2
557,	x^26 + x^25 + 9*a,	a^2 + 553*a + 2
563,	x^26 + x^25 + 29*a,	a^2 + 559*a + 2
569,	x^26 + x^25 + 22*a,	a^2 + 568*a + 3
571,	x^26 + x^25 + a,	a^2 + 570*a + 3
577,	x^26 + x^25 + 43*a,	a^2 + 572*a + 5
587,	x^26 + x^25 + 65*a,	a^2 + 583*a + 2
593,	x^26 + x^25 + 47*a,	a^2 + 592*a + 3
599,	x^26 + x^25 + 44*a,	a^2 + 598*a + 7
601,	x^26 + x^25 + 8*a,	a^2 + 598*a + 7
607,	x^26 + x^25 + 16*a,	a^2 + 606*a + 3
613,	x^26 + x^25 + 26*a,	a^2 + 609*a + 2
617,	x^26 + x^25 + 4*a,	a^2 + 612*a + 3
619,	x^26 + x^25 + 24*a,	a^2 + 618*a + 2
631,	x^26 + x^25 + 33*a,	a^2 + 629*a + 3
641,	x^26 + x^25 + 63*a,	a^2 + 635*a + 3
643,	x^26 + x^25 + a,	a^2 + 641*a + 11
647,	x^26 + x^25 + 7*a,	a^2 + 645*a + 5
653,	x^26 + x^25 + 35*a,	a^2 + 649*a + 2
659,	x^26 + x^25 + 28*a,	a^2 + 655*a + 2
661,	x^26 + x^25 + 102*a,	a^2 + 660*a + 2
673,	x^26 + x^25 + 114*a,	a^2 + 672*a + 5
